GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
140,0,17.69,35732,46.02,2016,1,14,21,1
132,0,17.69,34349,40.16,2016,1,14,22,1
130,0,17.69,33894,35.64,2016,1,14,23,1
132,0,17.52,34055,35.64,2016,1,15,0,1
132,0,17.52,34861,28,2016,1,15,1,1
132,0,17.52,35603,24.36,2016,1,15,2,1
161,0,17.52,36828,23.5,2016,1,15,3,1
169,0,17.52,38928,22.94,2016,1,15,4,1
142,0,17.52,38668,27,2016,1,15,5,1
132,0,17.52,40286,33.4,2016,1,15,6,1
132,0,17.52,41577,42.69,2016,1,15,7,1
140,0,17.52,44158,47.52,2016,1,15,8,1
661,0,17.52,48222,48,2016,1,15,9,1
3474,0,17.52,51492,48,2016,1,15,10,1
7404,0,17.52,54456,46.95,2016,1,15,11,1
9317,0,17.52,60245,44,2016,1,15,12,1
11148,0,17.52,66674,42.05,2016,1,15,13,1
11669,0,17.52,71379,39.99,2016,1,15,14,1
11790,0,17.52,74120,37.65,2016,1,15,15,1
11245,0,17.52,70666,38,2016,1,15,16,1
6359,0,17.52,65571,43,2016,1,15,17,1
1647,0,17.52,63294,48.04,2016,1,15,18,1
476,0,17.52,59481,49.98,2016,1,15,19,1
415,0,17.52,57478,46,2016,1,15,20,1
373,0,17.52,56587,42.7,2016,1,15,21,1
358,0,17.52,55579,42.1,2016,1,15,22,1
303,0,17.52,55010,40.5,2016,1,15,23,1
154,0,17.49,55636,32.1,2016,1,16,0,1
138,0,17.49,56115,29.31,2016,1,16,1,1
78,0,17.49,57612,24.02,2016,1,16,2,1
80,0,17.49,56362,23.2,2016,1,16,3,1
143,0,17.49,54034,19,2016,1,16,4,1
85,0,17.49,52305,19,2016,1,16,5,1
74,0,17.49,51933,20,2016,1,16,6,1
76,0,17.49,51738,25,2016,1,16,7,1
188,0,17.49,51009,33.27,2016,1,16,8,1
4617,0,17.49,48774,38.75,2016,1,16,9,1
12581,0,17.49,46682,40.35,2016,1,16,10,1
19673,0,17.49,46985,39,2016,1,16,11,1
23765,0,17.49,48163,37.06,2016,1,16,12,1
23996,0,17.49,48272,36.06,2016,1,16,13,1
23732,0,17.49,45940,33.32,2016,1,16,14,1
23036,0,17.49,43437,32.1,2016,1,16,15,1
19816,0,17.49,40430,34.1,2016,1,16,16,1
11400,0,17.49,37024,39.77,2016,1,16,17,1
3174,0,17.49,34653,49.5,2016,1,16,18,1
682,0,17.49,34386,52.56,2016,1,16,19,1
275,0,17.49,34959,50.54,2016,1,16,20,1
216,0,17.49,34211,49.98,2016,1,16,21,1
207,0,17.49,34521,45.1,2016,1,16,22,1
206,1,17.49,33830,40.06,2016,1,16,23,1
154,1,17.38,35356,37.86,2016,1,17,0,1
150,1,17.38,37200,34.6,2016,1,17,1,1
150,1,17.38,39147,32.12,2016,1,17,2,1
150,1,17.38,38673,29.01,2016,1,17,3,1
150,1,17.38,37218,24.37,2016,1,17,4,1
150,1,17.38,35647,24.36,2016,1,17,5,1
147,1,17.38,37789,27.64,2016,1,17,6,1
152,1,17.38,35926,29.99,2016,1,17,7,1
243,1,17.38,33676,32.4,2016,1,17,8,1
3259,1,17.38,31318,34.56,2016,1,17,9,1
8655,1,17.38,28449,37.06,2016,1,17,10,1
12169,1,17.38,25375,38.1,2016,1,17,11,1
13790,1,17.38,24442,38.56,2016,1,17,12,1
13327,1,17.38,24198,38.56,2016,1,17,13,1
11418,1,17.38,25805,38.56,2016,1,17,14,1
9166,1,17.38,25267,36.27,2016,1,17,15,1
6158,1,17.38,24597,34.56,2016,1,17,16,1
1841,1,17.38,24399,39.49,2016,1,17,17,1
266,1,17.38,25556,47.84,2016,1,17,18,1
220,1,17.38,28094,51.81,2016,1,17,19,1
215,1,17.38,33123,51.19,2016,1,17,20,1
186,1,17.38,36895,50.51,2016,1,17,21,1
184,1,17.38,40339,46.01,2016,1,17,22,1
176,0,17.38,43683,38.79,2016,1,17,23,1
125,0,17.36,45957,38.14,2016,1,18,0,1
104,0,17.36,47166,35.66,2016,1,18,1,1
102,0,17.36,47773,31.1,2016,1,18,2,1
102,0,17.36,49978,25,2016,1,18,3,1
102,0,17.36,53758,23.51,2016,1,18,4,1
102,0,17.36,57268,23.97,2016,1,18,5,1
102,0,17.36,59235,29.1,2016,1,18,6,1
127,0,17.36,61671,40,2016,1,18,7,1
198,0,17.36,64674,49.98,2016,1,18,8,1
2626,0,17.36,61388,50.54,2016,1,18,9,1
6993,0,17.36,58105,50.5,2016,1,18,10,1
10709,0,17.36,60560,49.18,2016,1,18,11,1
12190,0,17.36,65496,44.42,2016,1,18,12,1
12583,0,17.36,70696,44.42,2016,1,18,13,1
11665,0,17.36,71692,40.5,2016,1,18,14,1
10129,0,17.36,70020,40,2016,1,18,15,1
8125,0,17.36,68435,40.5,2016,1,18,16,1
3959,0,17.36,65542,45.01,2016,1,18,17,1
945,0,17.36,60846,54.18,2016,1,18,18,1
168,0,17.36,58111,58,2016,1,18,19,1
169,0,17.36,56407,55.14,2016,1,18,20,1
131,0,17.36,54466,51.8,2016,1,18,21,1
138,0,17.36,50550,49.98,2016,1,18,22,1
120,0,17.36,47575,46.75,2016,1,18,23,1
126,0,17.69,44711,39.8,2016,1,19,0,1
125,0,17.69,42823,36.79,2016,1,19,1,1
126,0,17.69,41572,35.87,2016,1,19,2,1
125,0,17.69,38748,32,2016,1,19,3,1
124,0,17.69,37531,31.83,2016,1,19,4,1
126,0,17.69,34770,38.88,2016,1,19,5,1
125,0,17.69,30788,43.47,2016,1,19,6,1
131,0,17.69,27147,54.1,2016,1,19,7,1
225,0,17.69,23282,61.57,2016,1,19,8,1
2603,0,17.69,20945,62.99,2016,1,19,9,1
6240,0,17.69,17632,64.54,2016,1,19,10,1
9292,0,17.69,15181,62.01,2016,1,19,11,1
11131,0,17.69,13547,58.98,2016,1,19,12,1
11242,0,17.69,12704,58.53,2016,1,19,13,1
9951,0,17.69,11932,55.81,2016,1,19,14,1
7867,0,17.69,11590,55.5,2016,1,19,15,1
4694,0,17.69,10066,56.21,2016,1,19,16,1
1780,0,17.69,8779,60,2016,1,19,17,1
434,0,17.69,9937,65,2016,1,19,18,1
330,0,17.69,10551,66.71,2016,1,19,19,1
253,0,17.69,11191,60.03,2016,1,19,20,1
159,0,17.69,12607,53.03,2016,1,19,21,1
123,0,17.69,12699,49.74,2016,1,19,22,1
108,0,17.69,13274,45,2016,1,19,23,1
108,0,17.48,14781,42.21,2016,1,20,0,1
97,0,17.48,17507,39.68,2016,1,20,1,1
105,0,17.48,20037,36.64,2016,1,20,2,1
105,0,17.48,19505,34.47,2016,1,20,3,1
108,0,17.48,16983,33.49,2016,1,20,4,1
107,0,17.48,15914,37.27,2016,1,20,5,1
105,0,17.48,16535,42.04,2016,1,20,6,1
121,0,17.48,14883,55.08,2016,1,20,7,1
163,0,17.48,13682,61.08,2016,1,20,8,1
1516,0,17.48,10666,62.5,2016,1,20,9,1
4927,0,17.48,9222,64.64,2016,1,20,10,1
8084,0,17.48,8396,61.58,2016,1,20,11,1
10046,0,17.48,8726,58.6,2016,1,20,12,1
11165,0,17.48,10112,57.8,2016,1,20,13,1
10674,0,17.48,11292,54.95,2016,1,20,14,1
9126,0,17.48,12035,52.42,2016,1,20,15,1
6422,0,17.48,13091,61.58,2016,1,20,16,1
2433,0,17.48,14758,62.01,2016,1,20,17,1
399,0,17.48,19508,64.98,2016,1,20,18,1
208,0,17.48,21503,66,2016,1,20,19,1
197,0,17.48,21333,65.33,2016,1,20,20,1
139,0,17.48,22670,60.33,2016,1,20,21,1
125,0,17.48,24249,52.32,2016,1,20,22,1
126,0,17.48,26113,46.57,2016,1,20,23,1
163,0,16.94,26772,41.73,2016,1,21,0,1
220,0,16.94,25320,40.1,2016,1,21,1,1
212,0,16.94,25175,38.53,2016,1,21,2,1
134,0,16.94,25653,37.33,2016,1,21,3,1
120,0,16.94,27361,36.62,2016,1,21,4,1
119,0,16.94,28693,38.41,2016,1,21,5,1
112,0,16.94,30179,42.1,2016,1,21,6,1
126,0,16.94,29801,49.77,2016,1,21,7,1
203,0,16.94,28322,57,2016,1,21,8,1
2413,0,16.94,25747,58.51,2016,1,21,9,1
6134,0,16.94,24426,60,2016,1,21,10,1
8376,0,16.94,23464,59.99,2016,1,21,11,1
9448,0,16.94,23768,59.91,2016,1,21,12,1
10101,0,16.94,24595,57.69,2016,1,21,13,1
9634,0,16.94,25538,57.99,2016,1,21,14,1
8066,0,16.94,25846,58.31,2016,1,21,15,1
5517,0,16.94,25597,57.43,2016,1,21,16,1
1716,0,16.94,23508,57.11,2016,1,21,17,1
222,0,16.94,24932,60,2016,1,21,18,1
189,0,16.94,26067,61.33,2016,1,21,19,1
187,0,16.94,27130,60.01,2016,1,21,20,1
146,0,16.94,27914,46.38,2016,1,21,21,1
139,0,16.94,28867,45.82,2016,1,21,22,1
130,0,16.94,29027,44.57,2016,1,21,23,1
125,0,16.89,28454,40.45,2016,1,22,0,1
118,0,16.89,28066,39.21,2016,1,22,1,1
125,0,16.89,28704,37.48,2016,1,22,2,1
127,0,16.89,28468,36.07,2016,1,22,3,1
124,0,16.89,28899,34.55,2016,1,22,4,1
126,0,16.89,28243,34.55,2016,1,22,5,1
121,0,16.89,27998,39.8,2016,1,22,6,1
115,0,16.89,28313,49.26,2016,1,22,7,1
187,0,16.89,27394,52.5,2016,1,22,8,1
1818,0,16.89,25395,52.51,2016,1,22,9,1
